"Region","how much to tip","tip calculator"
"Juneau AK",81,19
"Honolulu HI",66,34
"San Francisco-Oakland-San Jose CA",61,39
"New York NY",59,41
"Jonesboro AR",58,42
"Charlottesville VA",56,44
"West Palm Beach-Ft. Pierce FL",55,45
"Jackson TN",55,45
"Lafayette LA",55,45
"Miami-Ft. Lauderdale FL",54,46
"Monroe LA-El Dorado AR",54,46
"Seattle-Tacoma WA",54,46
"Gainesville FL",53,47
"Shreveport LA",53,47
"Baton Rouge LA",53,47
"Philadelphia PA",52,48
"Lafayette IN",52,48
"Ottumwa IA-Kirksville MO",52,48
"Meridian MS",52,48
"North Platte NE",51,49
"Idaho Falls-Pocatello ID",51,49
"San Diego CA",51,49
"Santa Barbara-Santa Maria-San Luis Obispo CA",51,49
"Sacramento-Stockton-Modesto CA",51,49
"Washington DC (Hagerstown MD)",50,50
"Orlando-Daytona Beach-Melbourne FL",50,50
"Greenville-Spartanburg SC-Asheville NC-Anderson SC",50,50
"Dothan AL",50,50
"Austin TX",50,50
"Columbus-Tupelo-West Point MS",50,50
"Las Vegas NV",50,50
"Raleigh-Durham (Fayetteville) NC",49,51
"Chicago IL",49,51
"Birmingham AL",49,51
"Greenwood-Greenville MS",49,51
"Sherman TX-Ada OK",49,51
"Madison WI",49,51
"Huntsville-Decatur (Florence) AL",49,51
"Hattiesburg-Laurel MS",49,51
"Los Angeles CA",49,51
"Tallahassee FL-Thomasville GA",48,52
"Ft. Myers-Naples FL",48,52
"Memphis TN",48,52
"Lake Charles LA",48,52
"Jackson MS",48,52
"Charleston SC",47,53
"Columbus GA",47,53
"Albany GA",47,53
"Lexington KY",47,53
"Marquette MI",47,53
"Jacksonville FL",47,53
"New Orleans LA",47,53
"Des Moines-Ames IA",47,53
"Fairbanks AK",47,53
"Butte-Bozeman MT",47,53
"Salt Lake City UT",47,53
"Portland OR",47,53
"Monterey-Salinas CA",47,53
"Boston MA-Manchester NH",46,54
"Baltimore MD",46,54
"Charlotte NC",46,54
"Burlington VT-Plattsburgh NY",46,54
"Atlanta GA",46,54
"Tampa-St. Petersburg (Sarasota) FL",46,54
"Lansing MI",46,54
"Joplin MO-Pittsburg KS",46,54
"Columbia-Jefferson City MO",46,54
"Alexandria LA",46,54
"Evansville IN",46,54
"Nashville TN",46,54
"Mobile AL-Pensacola (Ft. Walton Beach) FL",46,54
"Montgomery (Selma) AL",46,54
"Bowling Green KY",46,54
"Anchorage AK",46,54
"Denver CO",46,54
"Eugene OR",46,54
"Reno NV",46,54
