"Region","how much to tip","tip calculator"
"Hawaii",66,34
"District of Columbia",59,41
"Washington",55,45
"New Jersey",54,46
"New York",54,46
"Alaska",53,47
"California",52,48
"Alabama",51,49
"Florida",51,49
"Nevada",50,50
"Louisiana",49,51
"Virginia",49,51
"Mississippi",48,52
"North Carolina",48,52
"Oregon",48,52
"Vermont",48,52
"Colorado",47,53
"Delaware",47,53
"Georgia",47,53
"Illinois",47,53
"Utah",47,53
"Arkansas",46,54
"South Carolina",46,54
"Connecticut",45,55
"Pennsylvania",45,55
"Maryland",44,56
"Minnesota",44,56
"Tennessee",44,56
"Wyoming",44,56
"Indiana",43,57
"Kansas",43,57
"Michigan",43,57
"Texas",43,57
"Iowa",42,58
"Idaho",42,58
"Massachusetts",42,58
"Montana",42,58
"West Virginia",42,58
"Kentucky",41,59
"Missouri",41,59
"Wisconsin",41,59
"Maine",40,60
"North Dakota",40,60
"Nebraska",39,61
"Rhode Island",39,61
"Arizona",38,62
"Ohio",38,62
"Oklahoma",38,62
"South Dakota",38,62
"New Hampshire",36,64
"New Mexico",33,67
